cond_id,window,lli,lam_pe,lam_ne,pvs,v_peak,dqdv_peak,v_valley,dqdv_valley
0005685cc3d8,21,0.2,0.06,0.06,-37.118539579253074,3.5580852814255186,7.496064080316365,3.6616489161088515,3.651933207351768
005b8519b40b,21,0.16,0.0,0.08,-102.59024474423114,3.5569419214248104,8.044367701710096,3.5978052589610376,3.8521879028024113
009c116b3446,21,0.18,0.12,0.0,-10.090705279900613,3.636089483946967,4.7690688111417785,3.727829795173844,3.8433443682650066
00b7dddbca03,21,0.06,0.12,0.2,-36.4631289933883,3.60379305403425,8.598861509537157,3.730345443836502,3.984365395756083
0100afa98e0b,21,0.06,0.08,0.04,-11.584681124147922,3.649590991986403,7.07971532088031,3.8558449792680523,4.690328647638344
0123ad6242ce,21,0.18,0.16,0.12,-6.271798931005486,3.58488644037281,5.40858177116412,3.751944921945321,4.360824565022245
01c419e065ef,21,0.1,0.08,0.12,-9.410704383795968,3.6598326845689577,6.485441086048353,3.860238035773137,4.599485568935011
01fdf2510575,21,0.06,0.12,0.16,-34.17813659314158,3.6119465211802475,8.462766300139663,3.7523975583326026,3.6624115676980677
02258e512983,21,0.08,0.14,0.12,-27.900437684527397,3.6230802260412562,7.98274775836745,3.7820044852698462,3.548691367200497
022e3a9e1d47,21,0.12,0.18,0.02,-19.144423276023705,3.642976545768449,6.47727097332613,3.758118098651197,4.2729523482801355
0243cc553bef,21,0.08,0.08,0.0,-7.103987633014393,3.573748237290858,6.086551107845833,3.7557428505660506,4.793663625863629
02cecb796fc8,21,0.18,0.06,0.06,-14.293355610647875,3.5508443476830163,6.175908146570807,3.7174961855219966,3.793894165170238
03ccd8aefe0b,21,0.0,0.0,0.0,-11.271739650732973,3.6536579971048044,7.369252202023995,3.8589037961897676,5.055774990331642
043269183a8c,21,0.1,0.12,0.16,-24.47703923974705,3.6371047868398914,7.6282708623277005,3.797862311104804,3.6934026328108454
045a0f9a8f31,21,0.18,0.12,0.14,-6.50144122225017,3.604558679931249,5.258492023749689,3.7340048144194125,4.416905588927404
04e5c31e558f,21,0.18,0.16,0.18,-6.455139109796473,3.6630592618638387,5.665495714399376,3.8771939052919913,4.283226802843986
0504b862953f,21,0.08,0.04,0.2,-22.203525242608936,3.652807355754617,7.457177029604488,3.8087376246103455,3.994975368979523
059a30971ac2,21,0.08,0.1,0.04,-18.395486868017738,3.650390452452907,6.716298857018038,3.7617206257406024,4.668326116290097
05b75b1e47b1,21,0.2,0.1,0.2,-8.620862485410045,3.624609348494319,4.853563363383804,3.7072222616623884,4.141368799442758
05c840677b56,21,0.18,0.06,0.2,-8.225181586666963,3.629757816177764,4.838452288979116,3.7098522216094825,4.179661260227109
05db5520658b,21,0.12,0.1,0.2,-19.551009856422773,3.6519177824658,7.060194364433952,3.8127314840709667,3.9161240993035027
06310b1819dd,21,0.14,0.02,0.0,-11.918771481997275,3.5522594891031214,5.974714039232189,3.7202609992861615,3.9723424307300954
0661e312a316,21,0.08,0.1,0.08,-14.45545131363727,3.6468115026276875,7.1497147940360986,3.8371516842426088,4.398261565672728
0690cb258750,21,0.12,0.06,0.2,-9.846553439480244,3.669780830177528,6.229388577202146,3.8512708535512545,4.442337363320227
06acdbe57801,21,0.2,0.0,0.14,-77.46638380237191,3.585812667257303,6.777473432098849,3.6303889247643903,3.324311959581456
0792979ffb62,21,0.04,0.08,0.14,-34.013104143433516,3.6214908691496817,8.571216207666605,3.7647559618409567,3.6983256898396095
07bf2c477209,21,0.14,0.02,0.12,-9.027661421010759,3.6355722686403897,4.998652949472897,3.7185846682167667,4.2492451123517085
07e9bb9d2726,21,0.16,0.1,0.02,-10.981920216101493,3.6248753982119633,5.121338497971251,3.723638795703442,4.036726746448712
0900903b12b4,21,0.18,0.04,0.04,-38.0979074634188,3.556433034871806,7.744179824277748,3.66035517358446,3.7849638002024797
0900d51414f9,21,0.02,0.06,0.0,-16.171682253840917,3.64197566714688,7.698492904851602,3.8317776803118573,4.629075056808258
0959df9f6dc0,21,0.08,0.02,0.16,-10.243700150487797,3.669368266184229,6.517894833622686,3.8518033077047926,4.649084971344239
0a8b945556be,21,0.04,0.04,0.08,-17.40175564093553,3.649222246030535,7.540129696287132,3.825816312351585,4.467082906529055
0aaed442d961,21,0.12,0.08,0.1,-3.6383183836799433,3.586819464569345,5.745050292740701,3.898359711963676,4.611567683389708
0b229e79722e,21,0.18,0.08,0.14,-9.387204859012476,3.631225585941667,4.873315465666318,3.7172014226366015,4.066242673685965
0b384f812a5d,21,0.12,0.18,0.06,-20.613477830720747,3.6381627954396434,6.856324195256803,3.768235824924145,4.175066685603338
0b6eec749be4,21,0.12,0.0,0.02,-6.650302402259062,3.550038789109098,5.223483350087145,3.712321839554571,4.144251989863687
0bc343f45d47,21,0.14,0.02,0.16,-8.858158902180584,3.6269241397407908,5.133528587737871,3.7062808179507,4.430574522205283
0cd4fae025a8,21,0.2,0.2,0.02,-9.735013288454223,3.597399341025913,5.275445329333712,3.734113350599345,3.9445326294184953
0d016c38a14a,21,0.06,0.08,0.14,-28.57640245855878,3.6347752802921685,8.10776563782247,3.7870888432255336,3.7551919635416056
0d03e5580ccb,21,0.1,0.16,0.08,-19.829474898675173,3.6331012505282545,7.372358431096955,3.8086874829738067,3.8905756422649342
0d07799cdb2c,21,0.2,0.02,0.2,-98.25394807218326,3.56203209970077,7.66935619714609,3.6041435560567012,3.5317393511064283
0d27d4f143c1,21,0.06,0.1,0.04,-15.93290693535448,3.6433771885705823,7.403955812395873,3.8306450599314834,4.420234246020702
0d4ca6dfdb5e,21,0.2,0.02,0.04,-61.827427437587254,3.588651631027853,6.493125633639101,3.6398524066300744,3.327513395344579
0d7458b4823e,21,0.08,0.1,0.1,-18.068860334811767,3.6433777374839016,7.36066618113156,3.8194867519165125,4.178576995647362
0d9f31ff477a,21,0.08,0.02,0.0,-9.645088488824639,3.6098628282542222,5.88756692584122,3.7223443589857514,4.802672608577173
