lli,lam_pe,lam_ne,v_peak,dqdv_peak,v_valley,dqdv_valley,pvs,hops,jump_peak,jump_valley
0.0,0.0,0.0,3.6536579971048044,7.369252202023995,3.765274305942484,5.153383234777739,-19.8525555120151,0,0.0,0.0
0.0,0.0,0.02,3.650942646665666,7.600343809492502,3.773696405629138,5.072956468137077,-20.589083077345954,1,0.0027153504391383976,0.008422099686653972
0.0,0.0,0.04,3.6497915621993737,7.826993256805081,3.8268455599157223,4.675905860526961,-17.79732418878424,2,0.001151084466292307,0.05314915428658429
0.0,0.0,0.06,3.647610317150406,8.055705269972561,3.814596278775351,4.4587478366383815,-21.540478003851874,3,0.0021812450489675506,0.01224928114037116
0.0,0.0,0.08,3.6445295951337657,8.277528474001178,3.8038103354180373,4.263001711056857,-25.20409407803803,4,0.003080722016640447,0.010785943357313865
0.0,0.0,0.1,3.640795745907157,8.489805184824364,3.7950898495297625,4.103080860678693,-28.430926530253885,5,0.0037338492266085765,0.008720485888274787
0.0,0.0,0.12,3.6369900696139172,8.686230989060418,3.7858760421220037,3.988004556678939,-31.555870262568245,6,0.0038056762932399124,0.00921380740775879
0.0,0.0,0.14,3.633391973705785,8.86537507028018,3.777061481216914,3.9265199246149947,-34.37650223226806,7,0.003598095908132315,0.008814560905089586
0.0,0.0,0.16,3.6304647715944975,9.030037272886533,3.7661231864216904,3.9150163734620778,-37.705150144502085,8,0.002927202111287386,0.01093829479522368
0.0,0.0,0.18,3.6260034924078153,9.171835169460262,3.7561235733536935,3.959451821766771,-40.05825472750447,9,0.004461279186682265,0.009999613067996904
0.0,0.0,0.2,3.6211125781182014,9.297274428199316,3.7449212241435603,4.058396447028988,-42.31431446312145,10,0.004890914289613857,0.011202349210133189
0.0,0.02,0.0,3.645689815139175,7.731258135436806,3.7810307797300435,4.943277010040194,-20.5996841667605,1,0.00796818196562965,0.01575647378755951
0.0,0.02,0.02,3.6450785000975285,7.949390900085565,3.8260174243106873,4.594922351605285,-18.53923119675721,2,0.0006113150416462432,0.04498664458064372
0.0,0.02,0.04,3.643482386485502,8.161338227428896,3.8106261615787185,4.37890667322622,-22.629808092423442,3,0.0015961136120266062,0.01539126273196878
0.0,0.02,0.06,3.6386162614783957,8.36617748591844,3.800604963194636,4.19045819340275,-25.77784282653493,4,0.004866125007106259,0.010021198384082552
0.0,0.02,0.08,3.635179417231523,8.557757738123998,3.7922746094710584,4.039132096183086,-28.763615089193873,5,0.003436844246872628,0.008330353723577488
0.0,0.02,0.1,3.633388899835334,8.734708023072432,3.782798876432836,3.9382206449881103,-32.102858773652365,6,0.001790517396189184,0.009475733038222245
0.0,0.02,0.12,3.629623874389276,8.893007665269677,3.773402719562734,3.8880594039880263,-34.8100463266593,7,0.0037650254460577237,0.00939615687010198
0.0,0.02,0.14,3.62449414543232,9.030744957266284,3.761146669472707,3.89481691521946,-37.58385055902015,8,0.005129728956956292,0.01225605009002706
0.0,0.02,0.16,3.6200906662505865,9.155177351373778,3.7512471999245585,3.9540422717151773,-39.65593580406408,9,0.0044034791817333385,0.009899469548148687
0.0,0.02,0.18,3.6171210781726875,9.260987780705047,3.7406481480590354,4.070214485393686,-42.02134236720074,10,0.0029695880778990436,0.010599051865523013
0.0,0.02,0.2,3.613684734851262,9.347793189139642,3.7293343448224774,4.2356945820716945,-44.203336339312614,11,0.0034363433214252836,0.011313803236558062
0.0,0.04,0.0,3.639844167290472,8.046076232579324,3.820058029563013,4.507001638015431,-19.63819292220532,2,0.005845647848702562,0.039027249832969346
0.0,0.04,0.02,3.6387337125772,8.244235357499926,3.8095465203800014,4.293349478197808,-23.129915901056485,3,0.001110454713272091,0.01051150918301147
0.0,0.04,0.04,3.6343917860099504,8.42844661414719,3.800637313094109,4.113597963620975,-25.954675149496847,4,0.004341926567249743,0.008909207285892506
0.0,0.04,0.06,3.6314004937310846,8.600401197155877,3.788979852484514,3.9761428868620947,-29.345584008433132,5,0.0029912922788657426,0.011657460609594938
0.0,0.04,0.08,3.627644670393659,8.75238832558037,3.77948028616289,3.888962641884471,-32.030862186429516,6,0.0037558233374257455,0.009499566321624187
0.0,0.04,0.1,3.6238575726335243,8.891371014409255,3.7697032511790645,3.851101682123425,-34.55892133761104,7,0.003787097760134639,0.009777034983825317
