lli,lam_pe,lam_ne,step,angle_ones_deg,cond,u_min_LLI,u_min_LAM_PE,u_min_LAM_NE,sv1,sv2,sv3
0.0,0.0,0.0,0.02,12.040912340282622,18.238053852728832,0.6618625494565039,0.637164810095476,0.39491640938676237,0.6892627137774713,2.786327761627786,12.57081049255154
0.0,0.0,0.0,0.04,18.61778732733031,10.432382370510782,0.7313387446238482,0.6147665538130261,0.2953061545665271,1.1603413829933384,2.9425895861513265,12.105124987713802
0.04,0.04,0.04,0.02,13.50540295132045,16.713987780394014,0.6645916346376092,0.6486386449816909,0.37092568987066227,0.7759024531990453,2.860203651731975,12.968424121546581
0.04,0.04,0.04,0.04,18.970946411175266,9.974489951181237,0.7378001378695911,0.6089825922778418,0.29118921487955635,1.2585202597477865,3.088883793227972,12.553097684212297
0.08,0.08,0.08,0.02,13.021358570616604,16.834718437440664,0.6697852653574154,0.638290978632359,0.37943685233071667,0.8049967802366302,3.030319001068524,13.551894138329969
0.08,0.08,0.08,0.04,20.143525668544818,9.61086588924008,0.7431251336179444,0.6116921717732985,0.2712890023140962,1.3635385352546452,3.234085792941238,13.104785997143251
0.12,0.12,0.12,0.02,15.16017884576811,15.172698921966449,0.6724587933243152,0.6553569038693797,0.3439571191755543,0.9265358034906186,3.1145018024550364,14.058048786785426
0.12,0.12,0.12,0.04,21.458049117891864,9.18224803044566,0.748485942432874,0.6147093313849292,0.24879958176947564,1.483640318243556,3.403850941406979,13.623153390081663
0.16,0.16,0.16,0.02,14.814853955666969,15.123631057865854,0.6786208596520221,0.6455969151790933,0.3502546958377421,0.9744381160403647,3.299991092621556,14.73704255571635
0.16,0.16,0.16,0.04,21.889601422219037,8.743685074452863,0.7566205699743204,0.6066649736557427,0.243891211057331,1.6277358588349373,3.6083390478641246,14.232409734046755
0.16,0.12,0.12,0.02,4.60781094313894,16.314142894355534,0.5685560852854681,0.52246077767583,0.6354358454440785,0.6627010856937572,2.881749132355385,10.811400208252506
0.16,0.12,0.12,0.04,7.184503187824657,8.51451126473398,0.5865114012349569,0.47833474492480627,0.6536055752662517,1.2650086011383461,2.846900740589729,10.770929984377823
0.12,0.16,0.08,0.02,8.995606801935233,13.69114257772552,0.6893336134640642,0.5505587137466427,0.4708548312019519,0.8806421619092313,2.9432896101090136,12.056997398655728
0.08,0.12,0.16,0.02,7.454451017625312,21.413521771935514,0.610205322547761,0.6393240980829635,0.4678826369345076,1.100031742760973,4.335746037134183,23.55555367343226
