Volume_A3,Energy_fit_eV
1150.0,-17182.515364
1150.3308,-17182.518415
1150.6617,-17182.521447
1150.9925,-17182.524461
1151.3233,-17182.527456
1151.6541,-17182.530433
1151.985,-17182.533391
1152.3158,-17182.536331
1152.6466,-17182.539252
1152.9774,-17182.542155
1153.3083,-17182.54504
1153.6391,-17182.547906
1153.9699,-17182.550754
1154.3008,-17182.553583
1154.6316,-17182.556395
1154.9624,-17182.559188
1155.2932,-17182.561963
1155.6241,-17182.56472
1155.9549,-17182.567459
1156.2857,-17182.57018
1156.6165,-17182.572883
1156.9474,-17182.575569
1157.2782,-17182.578236
1157.609,-17182.580885
1157.9398,-17182.583517
1158.2707,-17182.58613
1158.6015,-17182.588726
1158.9323,-17182.591305
1159.2632,-17182.593865
1159.594,-17182.596408
1159.9248,-17182.598934
1160.2556,-17182.601441
1160.5865,-17182.603932
1160.9173,-17182.606404
1161.2481,-17182.60886
1161.5789,-17182.611298
1161.9098,-17182.613718
1162.2406,-17182.616121
1162.5714,-17182.618507
1162.9023,-17182.620876
1163.2331,-17182.623227
1163.5639,-17182.625561
1163.8947,-17182.627878
1164.2256,-17182.630178
1164.5564,-17182.632461
1164.8872,-17182.634727
1165.218,-17182.636975
1165.5489,-17182.639207
1165.8797,-17182.641422
1166.2105,-17182.64362
1166.5414,-17182.645801
1166.8722,-17182.647965
1167.203,-17182.650112
1167.5338,-17182.652243
1167.8647,-17182.654357
1168.1955,-17182.656454
1168.5263,-17182.658534
1168.8571,-17182.660598
1169.188,-17182.662645
1169.5188,-17182.664676
1169.8496,-17182.66669
1170.1805,-17182.668688
1170.5113,-17182.670669
1170.8421,-17182.672634
1171.1729,-17182.674582
1171.5038,-17182.676514
1171.8346,-17182.67843
1172.1654,-17182.68033
1172.4962,-17182.682213
1172.8271,-17182.68408
1173.1579,-17182.685931
1173.4887,-17182.687765
1173.8195,-17182.689584
1174.1504,-17182.691387
1174.4812,-17182.693173
1174.812,-17182.694943
1175.1429,-17182.696698
1175.4737,-17182.698437
1175.8045,-17182.700159
1176.1353,-17182.701866
1176.4662,-17182.703557
1176.797,-17182.705232
1177.1278,-17182.706891
1177.4586,-17182.708535
1177.7895,-17182.710163
