# Potential-of-mean-force (PMF) percolation-path profile - B2O3@LPSCl1.6, T = 600 K, dF_perc = 0.1607 eV, axis [010].
# F(r) = -kB*T*ln(rho/rho_max) from the time-averaged Li density (4 trajectory/ies summed).
# Same conventions as the BV figures (26-connectivity percolation, min-energy-line-integral path, PBC-unwrapped mesh metric).
# WARNING: dF_perc is a FREE ENERGY AT THIS TEMPERATURE, not Ea. Sampling-limited if the trajectory is short - use only for beta-gate-passing systems.
d_A,dF_eV
0.000,-0.0000
0.206,0.0032
0.411,0.0118
0.617,0.0257
0.822,0.0448
1.028,0.0685
1.233,0.0946
1.439,0.1175
1.644,0.1306
1.850,0.1344
2.055,0.1320
2.261,0.1223
2.467,0.1037
2.672,0.0798
2.878,0.0564
3.083,0.0366
3.289,0.0217
3.495,0.0122
3.700,0.0077
3.906,0.0062
4.112,0.0052
4.318,0.0049
4.523,0.0080
4.810,0.0186
5.016,0.0307
5.221,0.0461
5.427,0.0634
5.632,0.0785
5.838,0.0845
6.044,0.0779
6.249,0.0634
6.455,0.0474
6.660,0.0328
6.866,0.0207
7.071,0.0121
7.359,0.0043
7.564,0.0022
7.769,0.0006
7.975,-0.0000
