freq_Hz,ReZ_ohm,negImZ_ohm,absZ_ohm,phase_deg,Ewe_V,I_mA,cycle
7.0000185e+06,7.533288,-13.294078,15.2801485,60.461292,5.2230327e-05,0.04522035,1.0
5.553741e+06,5.982999,-12.06477,13.466809,63.622883,8.518268e-05,0.039254695,1.0
4.406287e+06,5.957056,-9.678262,11.36465,58.387333,6.93216e-05,0.036608066,1.0
3.4959082e+06,6.451944,-6.858993,9.416654,46.751564,5.0161565e-05,0.036988027,1.0
2.773623e+06,7.0422134,-4.3115273,8.257241,31.47665,-1.578043e-06,0.03608285,1.0
2.2005735e+06,7.776149,-2.1894486,8.078501,15.725069,-4.616059e-06,0.03589846,1.0
1.7459175e+06,8.56151,-0.4838362,8.5751705,3.234513,-9.573816e-06,0.035838857,1.0
1.3851971e+06,9.351562,0.8840277,9.393253,-5.4002724,-1.00956895e-05,0.03558183,1.0
1.0990016e+06,10.213875,1.9830419,10.404599,-10.987382,-8.2318675e-06,0.035822093,1.0
871938.1,11.060749,2.856217,11.423578,-14.479181,-7.8591065e-06,0.03591522,1.0
691786.7,11.938082,3.5912485,12.46655,-16.74249,-7.169492e-06,0.035913356,1.0
548860.6,12.766487,4.207731,13.442031,-18.2418,-1.9973926e-05,0.034283657,1.0
435458.72,13.690779,4.72958,14.484694,-19.057848,-1.43638335e-05,0.035429098,1.0
345494.38,14.540286,5.172464,15.432897,-19.582167,-1.9619794e-05,0.035337836,1.0
274105.56,15.442284,5.615028,16.431454,-19.981966,-1.2835496e-05,0.03526706,1.0
217478.84,16.455515,5.949335,17.49796,-19.876976,-1.3115075e-05,0.03488338,1.0
172543.05,17.440256,6.3375406,18.55605,-19.970423,-7.74728e-06,0.03508453,1.0
136895.03,18.433863,6.58224,19.573788,-19.65029,-4.578784e-06,0.034827504,1.0
108614.164,19.62299,6.9192915,20.807169,-19.423237,-7.169496e-06,0.035155308,1.0
86169.46,20.64945,7.091797,21.83331,-18.954397,-4.3551254e-06,0.03523353,1.0
68364.016,21.801188,7.386145,23.018404,-18.71615,2.8578575e-06,0.034916904,1.0
54242.133,22.976767,7.495487,24.168453,-18.067377,8.039262e-06,0.036015786,1.0
43033.695,24.292648,7.6530695,25.469633,-17.486328,9.772617e-06,0.034937393,1.0
34144.895,25.489798,7.7881975,26.653063,-16.9901,2.1868757e-06,0.035294995,1.0
27093.232,26.653101,7.720428,27.748745,-16.154367,4.0693303e-06,0.035401158,1.0
21489.018,27.889078,7.75533,28.947294,-15.540062,2.4291721e-06,0.035287544,1.0
17053.887,29.178503,7.6853814,30.173666,-14.756102,6.585388e-07,0.035667494,1.0
13528.057,30.27137,7.555528,31.20003,-14.014305,7.964707e-06,0.035285678,1.0
10735.229,31.491924,7.415332,32.353184,-13.249945,1.4450794e-05,0.03569171,1.0
8517.451,32.692093,7.2699246,33.490665,-12.537184,8.4754036e-05,0.035548292,1.0
6753.7354,33.942116,6.954131,34.647182,-11.578642,8.1771934e-05,0.035395566,1.0
5359.6797,34.68363,6.9893208,35.380856,-11.39345,7.291879e-05,0.03587237,1.0
4253.6406,35.818905,6.812546,36.461002,-10.7687025,7.357113e-05,0.036000885,1.0
3373.921,36.933613,6.4609923,37.49448,-9.922648,7.2191906e-05,0.033752836,1.0
2677.5674,37.954834,6.453297,38.49954,-9.649476,5.0180206e-05,0.002898791,1.0
2124.317,38.832184,6.2050514,39.324818,-9.078626,6.0338018e-05,0.0031244957,1.0
1685.5374,39.73933,6.0317936,40.19449,-8.630705,6.289145e-05,0.0029986901,1.0
1337.1407,40.530407,5.920202,40.960503,-8.310319,5.6778124e-05,0.00273981,1.0
1061.0223,41.246365,5.646496,41.631065,-7.795155,4.4924236e-05,0.0026807277,1.0
841.34937,42.206116,5.5308943,42.56697,-7.465775,5.709497e-05,0.0027826768,1.0
667.64954,42.803562,5.605973,43.16911,-7.4615455,4.8558682e-05,0.0027366416,1.0
529.83014,43.546574,5.440988,43.885174,-7.1219926,4.496151e-05,0.002729,1.0
420.40347,44.325867,5.494243,44.665077,-7.0658402,4.962106e-05,0.0025888435,1.0
