freq_Hz,ReZ_ohm,negImZ_ohm,absZ_ohm,phase_deg,Ewe_V,I_mA,cycle
7.0000185e+06,10.40515,-21.715107,24.079308,64.39783,3.6610708,0.037084896,1.0
5.553741e+06,8.109408,-21.282698,22.775331,69.14151,3.661081,0.029863909,1.0
4.406287e+06,7.3816023,-18.366625,19.794468,68.10466,3.6610358,0.028513588,1.0
3.4959082e+06,6.9736657,-15.07022,16.605528,65.16791,3.661,0.02840184,1.0
2.773623e+06,6.7775817,-12.03826,13.81504,60.62034,3.6609907,0.028247252,1.0
2.2005735e+06,6.6796784,-9.493804,11.608205,54.870434,3.6609826,0.027954841,1.0
1.7459175e+06,6.6377764,-7.4443736,9.973905,48.278206,3.6609807,0.02818207,1.0
1.3851971e+06,6.664449,-5.778361,8.820677,40.926678,3.660979,0.028033072,1.0
1.0990016e+06,6.721637,-4.457932,8.065578,33.55318,3.6609826,0.02950818,1.0
871938.1,6.7863765,-3.3947508,7.5880985,26.575603,3.660982,0.028025623,1.0
691786.7,6.8599544,-2.5311494,7.3120236,20.252783,3.6609855,0.028331077,1.0
548860.6,6.9446697,-1.8470926,7.186111,14.89429,3.6609757,0.02867378,1.0
435458.72,7.0275435,-1.3058167,7.147834,10.526312,3.660979,0.028299412,1.0
345494.38,7.120292,-0.8563301,7.1716013,6.8578053,3.6609776,0.028854443,1.0
274105.56,7.222785,-0.4829364,7.238912,3.8252687,3.660979,0.02902393,1.0
217478.84,7.3259363,-0.20720601,7.328866,1.6201159,3.6609886,0.029161757,1.0
172543.05,7.430722,0.040578034,7.430833,-0.31288034,3.6609817,0.029385256,1.0
136895.03,7.5482693,0.24484137,7.552239,-1.8578379,3.6609848,0.02958641,1.0
108614.164,7.6658373,0.43617523,7.678236,-3.256537,3.660995,0.029834121,1.0
86169.46,7.7953205,0.6017916,7.818515,-4.4144263,3.6609855,0.029152442,1.0
68364.016,7.9168615,0.7420382,7.9515605,-5.354623,3.6609845,0.030087423,1.0
54242.133,8.062771,0.8909564,8.111848,-6.305744,3.6609972,0.029686984,1.0
43033.695,8.237808,1.0184628,8.300528,-7.047869,3.660989,0.029608758,1.0
34144.895,8.389691,1.1654195,8.470249,-7.9083996,3.660981,0.029552883,1.0
27093.232,8.579752,1.2919582,8.676479,-8.563389,3.6609902,0.030314649,1.0
21489.018,8.787479,1.4304206,8.90314,-9.2454815,3.6609743,0.030450612,1.0
17053.887,9.007532,1.5715199,9.143594,-9.896629,3.660972,0.030865954,1.0
13528.057,9.259093,1.7078148,9.415277,-10.450597,3.6609771,0.031352066,1.0
10735.229,9.504352,1.8432195,9.681434,-10.975372,3.6609764,0.03171712,1.0
8517.451,9.803505,1.9896959,10.00338,-11.472779,3.661039,0.03138,1.0
6753.7354,10.099559,2.1294825,10.321617,-11.906364,3.6610546,0.032093346,1.0
5359.6797,10.444346,2.2764149,10.6895485,-12.295701,3.6610413,0.03143215,1.0
4253.6406,10.811862,2.4007225,11.07519,-12.519145,3.6610453,0.031096904,1.0
3373.921,11.176618,2.52456,11.458193,-12.728295,3.661057,0.031691045,1.0
2677.5674,11.605377,2.6425345,11.902427,-12.827497,3.6610506,0.03156625,1.0
2124.317,11.993965,2.7396963,12.302892,-12.866914,3.6610527,0.031465676,1.0
1685.5374,12.437186,2.8599215,12.761769,-12.950002,3.6610565,0.032078445,1.0
1337.1407,12.875708,2.9343014,13.205831,-12.83813,3.6610584,0.03165379,1.0
1061.0223,13.297981,3.0194519,13.636473,-12.7927265,3.6610603,0.03324437,1.0
841.34937,13.754046,3.1214685,14.1038065,-12.7866335,3.6610668,0.03259994,1.0
667.64954,14.198288,3.200019,14.554432,-12.7011385,3.6610532,0.03329652,1.0
529.83014,14.635155,3.2746153,14.997028,-12.612194,3.6610389,0.032557104,1.0
420.40347,15.170673,3.3665578,15.539724,-12.511881,3.661046,0.033100955,1.0
333.39932,15.648561,3.4880023,16.03258,-12.565593,3.661038,0.03328721,1.0
264.5768,16.148914,3.6409853,16.554281,-12.705639,3.6610398,0.032545928,1.0
209.93277,16.645323,3.7577767,17.064222,-12.721589,3.661037,0.03262043,1.0
166.5458,17.167597,3.9269805,17.611006,-12.884385,3.6610405,0.033019006,1.0
132.1569,17.686241,4.1177816,18.159275,-13.106344,3.6610403,0.032674443,1.0
104.8319,18.259579,4.272096,18.75268,-13.168323,3.6610405,0.033264857,1.0
83.16338,18.868977,4.541778,19.407887,-13.533693,3.661044,0.03362246,1.0
