freq_Hz,ReZ_ohm,negImZ_ohm,absZ_ohm,phase_deg,Ewe_V,I_mA,cycle
7.0000185e+06,4.8479686,-18.324137,18.954597,75.18094,0.00020547323,0.020023404,1.0
5.553741e+06,4.0082345,-15.919574,16.416418,75.8678,0.0002666173,0.0048509235,1.0
4.406287e+06,3.8247588,-13.184964,13.728513,73.82336,0.00024388645,0.0035933799,1.0
3.4959082e+06,3.6859756,-10.094903,10.746789,69.94122,0.00019208464,0.0014602137,1.0
2.773623e+06,3.7939875,-7.581059,8.477428,63.414043,0.00017004373,0.00071873306,1.0
2.2005735e+06,3.992554,-5.513669,6.807425,54.09098,0.00015790443,-2.257766e-06,1.0
1.7459175e+06,4.2282023,-3.9101744,5.7590938,42.762157,0.0001561889,0.0003927133,1.0
1.3851971e+06,4.486264,-2.6354728,5.203103,30.432266,0.00015965727,0.00071874645,1.0
1.0990016e+06,4.7499766,-1.6148869,5.016985,18.776896,0.00016443094,-7.490424e-05,1.0
871938.1,5.02564,-0.7940088,5.087977,8.97804,0.00017468687,1.6382479e-05,1.0
691786.7,5.300942,-0.12204781,5.3023467,1.3189335,0.00016260351,-5.972654e-06,1.0
548860.6,5.6005473,0.4398811,5.6177955,-4.4909353,0.00016320022,-0.00088718795,1.0
435458.72,5.91262,0.9234475,5.9842987,-8.876881,0.00015286969,-0.00028542877,1.0
345494.38,6.2497244,1.3381462,6.391376,-12.085287,0.00016651941,-0.0002630739,1.0
274105.56,6.6132855,1.6920098,6.8263054,-14.351275,0.00015969455,0.00010766113,1.0
217478.84,7.0007787,2.0228305,7.2871633,-16.116312,0.00017021154,-0.00018669691,1.0
172543.05,7.412318,2.30207,7.7615714,-17.253412,0.00015848248,-0.00018483533,1.0
136895.03,7.867379,2.551905,8.2709055,-17.971264,0.00016855195,-0.0006133332,1.0
108614.164,8.325428,2.7746284,8.775609,-18.431765,0.0001669856,-0.0005369497,1.0
86169.46,8.843032,2.9304702,9.315947,-18.33455,0.00015626349,-9.913772e-05,1.0
68364.016,9.350151,3.1020286,9.85129,-18.353903,0.00016750771,-0.00041771636,1.0
54242.133,9.904143,3.2094843,10.411188,-17.955162,0.00016685507,0.0001821775,1.0
43033.695,10.453243,3.2913964,10.959178,-17.47757,0.00017105066,-0.00026308667,1.0
34144.895,11.012867,3.3405538,11.5083685,-16.874224,0.00017436987,-0.00013453909,1.0
