freq_Hz,ReZ_ohm,negImZ_ohm,absZ_ohm,phase_deg,Ewe_V,I_mA,cycle
7.0000185e+06,63.122272,-19.069462,65.939865,16.809753,3.5840344,0.0043832986,1.0
5.553741e+06,65.589005,-14.977943,67.27746,12.863521,3.5840483,0.003645982,1.0
4.406287e+06,67.65868,-11.407654,68.61364,9.570396,3.584013,0.003624921,1.0
3.4959082e+06,68.91843,-8.268673,69.41268,6.8415127,3.5839994,0.003547574,1.0
2.773623e+06,69.99483,-5.734606,70.22935,4.683725,3.58401,0.0034625854,1.0
2.2005735e+06,70.926094,-3.7181818,71.02348,3.0008886,3.5840101,0.003456994,1.0
1.7459175e+06,71.154564,-2.1767015,71.18785,1.7521987,3.584,0.0034413382,1.0
1.3851971e+06,71.89802,-0.6974237,71.9014,0.55576193,3.5840013,0.003547388,1.0
1.0990016e+06,72.83445,-0.22732942,72.83481,0.17882983,3.5840166,0.003510671,1.0
871938.1,73.395035,1.0418589,73.40243,-0.8132718,3.5840077,0.003572176,1.0
691786.7,73.76403,1.4681852,73.77864,-1.1402537,3.584005,0.0035417967,1.0
548860.6,74.4071,2.092185,74.43651,-1.6106231,3.5840154,0.0034981836,1.0
435458.72,74.952896,2.3471189,74.98964,-1.7936075,3.5840237,0.003221784,1.0
345494.38,75.54143,2.78099,75.5926,-2.1083407,3.5840166,0.0033298836,1.0
274105.56,76.050644,3.153366,76.11599,-2.374354,3.5839963,0.0035162624,1.0
217478.84,76.52435,3.5116723,76.60489,-2.627437,3.5840006,0.0033962345,1.0
172543.05,77.096756,3.7109745,77.18602,-2.7557473,3.5839818,0.0033986575,1.0
136895.03,77.521675,3.912317,77.62033,-2.8891177,3.584005,0.0033611953,1.0
108614.164,78.35872,4.2750125,78.47525,-3.1227868,3.584013,0.0033565357,1.0
86169.46,78.452705,4.831816,78.60136,-3.5243325,3.5840142,0.0033159053,1.0
68364.016,78.96353,4.949852,79.11852,-3.5869093,3.5840042,0.0033518765,1.0
54242.133,79.36669,5.677307,79.56949,-4.091548,3.5839987,0.0033602635,1.0
43033.695,80.32161,6.42743,80.57836,-4.5751276,3.5840065,0.0032467588,1.0
34144.895,81.36006,6.7306614,81.63799,-4.7291303,3.583996,0.0034545711,1.0
